name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fibre_g_per_100g,xp,typical_location,note
Skyr Natur,63,11.0,0.2,0.0,17.5,fridge,"Icelandic style, plain"
Skyr Drink Vanille,55,9.0,0.2,0.0,16.4,fridge,"drinkable, 250 ml bottle"
Magerquark,67,12.0,0.3,0.0,17.9,fridge,"Speisequark, Magerstufe"
Huettenkaese,98,12.0,4.3,0.0,12.2,fridge,cottage cheese
Harzer Kaese,125,30.0,0.7,0.0,24.0,fridge,"sour milk cheese, very high protein"
Gouda 48% jung,356,25.0,28.0,0.0,7.0,fridge,sliced
Frischkaese Doppelrahm,253,6.0,24.0,0.0,2.4,fridge,cream cheese
Joghurt Natur 3.5%,66,3.4,3.5,0.0,5.2,fridge,plain yoghurt
Ehrmann High Protein Pudding,76,10.0,1.5,0.0,13.2,fridge,200 g pot
Eier,143,12.6,9.9,0.0,8.8,fridge,"whole egg, approx 60 g each"
Haehnchenbrust-Filets Ja!,105,23.0,1.5,0.0,21.9,fridge,"prepared, water added: a 150 g pack yields about 35 g protein, not the 45 g a generic table implies"
Lachsfilet,208,20.0,13.0,0.0,9.6,fridge,salmon
Thunfisch in eigenem Saft,100,23.0,1.0,0.0,23.0,cupboard,"tuna in water, drained"
Hackfleisch gemischt,240,18.0,18.0,0.0,7.5,fridge,"mixed mince, raw"
Vollmilch 3.5%,64,3.3,3.5,0.0,5.2,fridge,
Vollkornbrot,220,7.0,1.2,7.0,3.2,cupboard,wholemeal rye
Weizenmischbrot,250,8.0,1.0,3.5,3.2,cupboard,everyday loaf
Haferflocken,370,13.5,7.0,10.0,3.6,cupboard,"rolled oats, dry"
Nudeln gekocht,158,5.8,0.9,1.8,3.7,cupboard,cooked weight
Reis gekocht,130,2.7,0.3,0.4,2.1,cupboard,cooked weight
Kartoffeln gekocht,70,2.0,0.1,2.0,2.9,cupboard,boiled
Linsen gekocht,116,9.0,0.4,8.0,7.8,cupboard,
Erbsen TK,81,5.4,0.4,5.0,6.7,freezer,frozen peas
Brokkoli,34,3.3,0.4,2.6,9.7,fridge,
Tomaten,18,0.9,0.2,1.2,5.0,fridge,
Gurke,12,0.6,0.1,0.5,5.0,fridge,
Banane,88,1.1,0.2,2.6,1.2,counter,
Apfel,54,0.3,0.1,2.0,0.6,counter,
Marmelade Erdbeer,260,0.4,0.1,0.8,0.2,cupboard,jam
Butter,741,0.7,82.0,0.0,0.1,fridge,
Olivenoel,900,0.0,100.0,0.0,0.0,cupboard,
Erdnussbutter,600,25.0,50.0,6.0,4.2,cupboard,
