customer_id,name,tier,region,notes
C-201,Maya Chen,standard,Ontario,Prefers email updates
C-202,Jordan Smith,plus,California,Frequent buyer
C-203,Avery Patel,standard,New York,First purchase
C-204,Riley Brooks,standard,Texas,Requested return outside policy before
C-205,Taylor Morgan,vip,Florida,Delivery damage complaint
C-206,Sam Rivera,standard,Ontario,Needs assembly support
C-207,Casey Nguyen,plus,Washington,Missing parts issue
C-208,Drew Wilson,standard,Illinois,Order not shipped yet
C-209,Jamie Lee,vip,British Columbia,High frustration tone

